Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
"And just to finish, people say, how will you get Mexico to pay?","One in 10 people right now aren't working or have given up altogether, as you said.","My mother told me if I work hard and I really believed in American principles and I believed in God, anything is possible.","If we do what needs to be done -- tax reform, regulatory reform, fully utilize our energy resources, repeal and replace Obamacare, and modernize higher education, then we can grasp the potential and the promise of this new economy.","These same leaders -- Obama, Clinton, and far too many Republicans -- want to topple Assad.",It would defy every norm that is America.,"All that together -- wealth, connection, family -- America's greatest days are ahead.",And so I don't back away from that position for a minute.,Clearly the best piece of veterans' legislation brought forth in decades.,That was a terrible mistake.,"And in talking to a lot of our neighbors who are in that super wealthy, millionaire and billionaire category, a great numbers of them love their country enough to do more again in order to create more opportunity for America's middle class."
A politician other than the people in the states -- I don't want to -- a politician cannot get them to pay.,That's not an A.,"I believe that is true, and that's why I'm not anxious to give away American values and principles for the sake of political correctness.",And we won't just save the American dream.,Assad is a bad man.,"So when you ask yourself, whoever you are, that think you're going to support Donald Trump, think, do you believe in the Constitution?",We must win this election.,"When the FBI director tells me that he can vet those people, then we'll consider it and not a moment before because your safety and security is what's most important to me.",I could only get two Republican votes on that.,"It basically gave the gun lobby even more power to intimidate legislators, not just in Washington but across the country.","All right, Nancy, I really wish you'd come back to me on this on this one, John|"
I can.,One in seven people are living in poverty.,"Well, I'm very happy to get a question this early on.",We will expand it to reach more people and change more lives than ever before.,Gadhafi was a bad man.,Are you going to change the Constitution?,"Thank you, Wolf.","Well, what it would like is, we have one of the great advantages of America being the open society that we are.",We ended up with 56 votes.,"But just think about thisŠ—– since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.","Because we have found a way to reduce hospital costs, so whenever we come|"
"We lose, we have a trade imbalance of $50 billion.",That's not an A.,I was going to ask you to wake me up when that time came.,And then truly this new century can be a new American century.,Mubarak had a terrible human rights record.,"I think that if you believe in regime change, you're mistaken.","Just last weekend, just last week, a friend asked one of my daughters, Do you like politics?","It is, we are not hiding things from the American people, but China everyday is conducting business in a way that hides things from their people.",We needed 60.,"Twenty-one mass shootings, including one last weekend in Des Moins where three were murdered.",Thank you.
"Excuse me, John.",One in five children are on food stamps.,"ou know, I find it really quite fascinating some of the president's proclamations.",I need to add a couple of points to this.,But they were assisting us -- at least Gadhafi and Mubarak -- in fighting radical Islamic terrorists.,"In 2013, we put 600 tons of weapons -- us, Saudi Arabia, and Qatar -- into the war against Assad.","And my daughter said, No, I don't.","So if they want to come in and attack all the personnel records in the federal government, which they've done, and which -- they now have my Social Security number and my fingerprints, as well as maybe some other folks' who are on this stage.",So what I had to do then is go back and start working on a bill that wasn't the bill that I wanted.,Two hundred children have been killed.,"Well, Mr."
Right.,That is not an A.,"The fact of the matter is he doesn't realize that we now live in the 21st century, and that war is very different than it used to be before.","The first is, I've never met Vladimir Putin, but I know enough about him to know he is a gangster.","And if we topple Assad, the result will be ISIS will take over Syria, and it will worsen U.","By pushing Assad back, we did create a safe space.","And the reason I don't like it is because there's too much fighting, too much yelling.","The fact is, they need to be fought back on.",Sit down with people like John Mccain.,This is an emergency.,"Cooney, we've actually been focusing on border security to the exclusion of talking about comprehensive immigration reform."
Dynamically.,"It may be the best that Hillary Clinton can do, but it's not the best America can do.","Not armies massively marching on each other and air forces, but now we have dirty bombs and we have cyber attacks and we have people who will be attacking our electrical grid.","He is basically an organized crime figure that runs a country, controls a $2 trillion economy.",S.,"We had people coming to our Foreign Relations Committee and saying, Oh, we need to arm the allies of Al Qaida.","It's so loud, I don't like it.",And what we need to do is go at the things that they are most sensitive and most embarrassing to them; that they're hiding; get that information and put it out in public.,"Sit down with people like Jeff Miller, the Republican chairman of the house, and work on a bill.","There are a lot of things we've got to do in our country, reigning in Wall Street is certainly one of them.","In fact, if more border security and these - and more and more deportations were going to bring our Republican brothers and sisters to the table, it would have happened long ago."
"Then you have to get rid of Larry Kudlow, who sits on your panel, who's a great guy, who came out the other day and said, I love Trump's tax plan.","Thank you, Donald, for allowing me to speak at the debate.","And, you know, we have a whole variety of things that they can do and they can do these things simultaneously.",And is using to build up his military in a rapid way despite the fact his economy is a disaster.,national security interests.,They are still saying this.,"You know, I turned to my friend and I said, You know, she's really on to something.",Let the Chinese people start to digest how corrupt the Chinese government is; how they steal from the Chinese people; and how they're enriching oligarchs all throughout China.,"It wasn't the bill that I wanted, but yet it turned out to be one of the more significant pieces of veterans' legislation passed in recent history.",I agree with that.,"The fact of the matter is - and let's say it in our debate, because you'll never hear this from that immigration-bashing carnival barker, Donald Trump, the truth of the matter is, net immigration from Mexico last year was zero."
"First of all, John got lucky with a thing called fracking, OK?",That's really nice of you.,And we have enemies who are obtaining nuclear weapons that they can explode in our exoatmosphere and destroy our electric grid.,He understands only geopolitical strength.,"And the approach, instead of being a Woodrow Wilson democracy promoter, we ought to hunt down our enemies and kill ISIS rather than creating opportunities for ISIS to take control of new countries.",It is a crazy notion.,"And when we think about our country and the big issues that we face in this country; creating jobs, making sure people can keep their jobs, the need for rising wages, whether our children when they graduate from college can find a job, protecting the homeland, destroying ISIS, rebuilding defense.",They need to understand that.,So the crisis was I lost what I wanted.,That's why I've got such a good plan.,Fact check me.
He hit oil.,Really appreciate that.,"I mean, just think about a scenario like that.","And every time he has acted anywhere in the world, whether it's in Ukraine or Georgia before that, or now in the Middle East, it's because he is trusting in weakness.","Well, it's more than not shedding a tear.",This is the biggest debate we should be having tonight is is regime change a good idea; has it been a good idea.,These are all the things that we need to focus on but we'll never get there if we're divided.,And we need to take those type of steps.,But I had to stand up and come back and get the best that we could.,But we have to also go after the gun lobby and 92 percent of Americans agree we should have universal background checks.,Go ahead.
He got lucky with fracking.,What a generous man you are.,"They explode the bomb, we have an electromagnetic pulse.","His calculation in the Middle East is that he has seen what this president has done, which is nothing, the president has no strategy, our allies in the region do not trust us.",It's actively getting involved to topple a government.,"There are still people -- the majority on the stage, they want to topple Assad.",We'll never get there if republicans and democrats just fight with one another.,This president has seen personnel records of people who have sacrificed for the American people and for the federal government stolen by the Chinese and he's done nothing in return.,"John - John, this country today has more income and wealth inequality than any major country on Earth.","Close the gun show loophole, close the online loophole and I will do everything I can as president to get that accomplished.",Check it out.
"Believe me, that is why Ohio is doing well.","Twelve million illegal immigrants, to send them back, 500,000 a month, is just not -- not possible.",They hit us with a cyberattack simultaneously and dirty bombs.,"For goodness sake, there is only one pro-American free enterprise democracy in the Middle East, it is the state of Israel.",And we keep hearing from President Obama and Hillary Clinton and Washington Republicans that they're searching for these mythical moderate rebels.,"And then there will be chaos, and I think ISIS will then be in charge of Syria.","Frankly, we are republicans and they're democrats but before all of that, we're Americans.","This is why -- this is what I said at the beginning that this administration, Barack Obama and Hillary Clinton through their foreign policy, have betrayed the American people, because the weakness they've displayed has led to Putin's incursions in the Middle East and in eastern Europe, and has led -- has led to significant problems in the Middle East as well, and the death and murder of lots of folks.",We have a corrupt campaign finance system dominated by Super PACs.,"I - I said I made a mistake on Iraq, and I would love to see Senator Sanders join with some of my colleague in addition the Senate that I see in the audience.","But the truth of the matter is, if we want wages to go up, we've got to get 11 million of our neighbors out of off the book shadow economy, and into the full light of an American economy."
Number -- and that is important for you to know.,And it's not embracing American values.,Can you imagine the chaos that would ensue at that point?,And we have a president that treats the prime minister of Israel with less respect than what he gives the ayatollah in Iran.,It's like a purple unicorn.,"These are the fundamental questions of our time, these foreign policy questions, whether or not regime change is a good idea or a bad idea.","And I believe we need to unify in so many ways to rebuild our country, to strengthen our country, to rebuild our defense, and for America to secure it's place it world; for us, for our children, and for the next generation.","On September 10th, 2001, I was named chief federal prosecutor in New Jersey and on September 11th, 2001, my wife and my brother who are in the audience tonight went through the World Trade Center and to their offices just blocks away from the Trade Center.",We are the only major country on Earth that doesn't guarantee healthcare to all people.,Let's reverse the immunity.,That's what our parents and grandparents always did.
"Number two, this was the man that was a managing general partner at Lehman Brothers when it went down the tubes and almost took every one of us with it, including Ben and myself, because I was there and I watched what happened.",And it would tear communities apart.,He needs to recognize that those kinds of things are in fact an existential threat to us.,And so our allies in the region don't trust us.,They never exist.,I don't think because I think the regime change was a bad idea it means that Hussein was necessarily a good idea.,Thank you.,I lost touch with them for six hours that day and prayed that they were alive.,"We have the highest rate of childhood poverty, and we're the only country in the world - virtually the only country that doesn't guarantee paid family and medical leave.",Let's put the gun makers and sellers on notice that they're not going to get away with it.,That's what we need to do as a nation.
And Lehman Brothers started it all.,And it would send a signal that we're not the kind of country that I know America is.,But here's the real key.,"Vladimir Putin is exploiting that weakness, for purposes of edging the Americans out as the most important geopolitical power broker in the region.",These moderate rebels end up being jihadists.,There is often variations of evil on both sides of the war.,"Well, first of all, Wolf, I said last February that we needed to have people on the ground, troops on the ground in a coalition similar to what we had in the first Gulf War.","Luckily, they were sent home.",That's not the America that I think we should be.,"But wait, I just want to say this Senator.","Yes, we must protect our borders."
He was on the board.,And even having this conversation sends a powerful signal -- they're doing high- fives in the Clinton campaign right now when they hear this.,"We have the world's best military, even though he's done everything he can to diminish it.",And we do have a vested interest.,And I'll tell you whose view on Assad is the same as mine.,What we have to decide is whether or not regime change is a good idea.,I remember when the Egyptian ambassador to the United States stood in the Rose Garden and pledged Arab commitment to removing Saddam Hussein from Kuwait.,But many of our friends and others in our neighborhood lost their lives that day.,"But in order to bring about the changes that we need, we need a political revolution.","There is broad consensus, 92 percent in the most recently poll of Americans want gun safety measures and 85 percent of gun owners agree.","But there is no substitute for having comprehensive immigration reform with a pathway to citizenship for 11 million people, many of whom have known no other country but the United States of America."
And he was a managing general partner.,That's the problem with this.,"And the fact of the matter is if we give them a mission and we don't tie their hands behind their back, they can get it accomplished.",And here's why.,It's Prime Minister Netanyahu.,It's what the neoconservatives have wanted.,"Before we came out here tonight, I am told that the Saudis have organized 34 countries who want to join in the battle against terrorism.",Terrorism -- radical jihadist terrorism is not theoretical to me.,"Millions of people are going to have to stand up, turn off the TV, get involved in the political process and tell the big- money interest that we are taking back our country.","We've got the consensus, what we're lacking is political leadership and that's what you and others can start providing in the Senate.",Our symbol is the Statue of Liberty.
"And just thirdly, he was so nice.",We have to win the presidency.,"Neil, I was mentioned too.","Because all those radical terrorist groups that, by the way, are not just in Syria and in Iraq, ISIS is now in Libya.","Prime Minister Netanyahu has said Israel doesn't have a dog in that fight because Assad is a puppet of Iran, a Shia radical Islamic terrorist, but at the same time, Prime Minister Netanyahu doesn't want to see Syria governed by ISIS.",It's what the vast majority of those on the stage want.,"First and foremost, we need to go and destroy ISIS.",It's real.,Please go to berniesanders.,"Well, I'm sorry that whoever tweeted that had that impression because I worked closely with New Yorkers after 9/11 for my entire first term to rebuild.",It is not a barbed wire fence.
He was such a nice guy.,And the way you win the presidency is to have practical plans.,"Yeah, he said everybody.","They are a significant presence in Libya, and in Afghanistan, and a growing presence in Pakistan.","And we need to focus on American interests, not on global aspirations|",They still want regime change.,And we need to do this with our Arab friends and our friends in Europe.,"And for seven years, I spent my life protecting our country against another one of those attacks.",com.,"So, yes, I did know people.","Kathie, this was not merely theory in Maryland."
"And he said, oh, I'm never going to attack.",Lay them out there.,"And -- and I just want to take this opportunity to say, you know, in the 2012 election, you know, we -- and when I say we, Republicans -- tore themselves apart.",Soon they will be in Turkey.,The question of whether we should toppling dictatorships is asking the wrong question.,They want it in Syria.,"And when I see they have a climate conference over in Paris, they should have been talking about destroying ISIS because they are involved in virtually every country, you know, across this world.",You won't have to worry when I'm President of the Untied States whether that can be done because I've already done it.,Please become part of the political revolution.,"I've had a lot of folks give me donations from all kinds of backgrounds say, I don't agree with you on everything, but I like what you do.",We actually did it.
But then his poll numbers tanked.,"What we need to do is allow people to earn legal status where they pay a fine, where they work, where they don't commit crimes, where they learn English, and over an extended period of time, they earn legal status.","You know, we have to stop this because, you know, if we manage to damage ourselves, and we lose the next election, and a progressive gets in there and they get two or three Supreme Court picks, this nation is over as we know it.",They will try Jordan.,We should be defeating our enemies.,They wanted it in Iraq.,"Now, you destroy ISIS in a coalition.","I want the chance to do it again to protect you, your children and your families.",Thank you.,I like how you stand up.,Not only were we the first state in the nation to pass a living wage.
He has got -- that is why he is on the end.,That's the path -- a proper path|,And we got to look at the big picture here.,They will try Saudi Arabia.,So the problem with defeating|,They want it in Libya.,You get joint intelligence with our European friends.,If you give me the chance and give me your vote I will protect America from the wars that are being brought to our door step.,Good evening.,"I'm going to support you, and I think that is absolutely appropriate.",We were the first to pass a minimum wage.
And he got nasty.,"I'm going to fight as hard as I can to make sure that we shift power away from Washington, simplify the tax code, to spur economic activity in this country.","Well, there's not question that we should be able to look at past president whether they're married to somebody who's running for president or not in terms of their past behavior and what it means.",They are coming to us.,"Well, but let me explain, the focus should be on defeating our enemies.",It has not worked.,"And then here at home, there are things called the Joint Terrorism Task Force, headed by the FBI, and made up of local law enforcement, including state police.",They're not wrong.,I am running for president of the United States because it is too late for establishment politics and establishment economics.,"Well, I'll tell you who is on my side.",And the U.
And he got nasty.,Of course it's the highest priority.,"But you know, here's the real issue, is this America anymore?",They recruit Americans using social media.,"So, for example a regime we should change is Iran because Iran has declared war on us.",Out of regime change you get chaos.,They need the tools.,But what's wrong is your premise in the question.,I'm running for president because our economy is rigged because working people are working longer hours for lower wages and almost all of new wealth and income being created is going to the top one percent.,"Paul Krugman, the Nobel Prize winning economist, who said my plan for what we should do to reign in Wall Street was more comprehensive and better.",S.
So you know what?,"If we don't do that, we're stuck with the new normal of 2 percent growth.",Do we still have standards?,And they don't hate us simply because we support Israel.,But we shouldn't be toppling regimes that are fighting radical Islamic terrorists that are helping|,From the chaos you have seen repeatedly the rise of radical Islam.,And the tools involve encryption where we cannot hear what they're even planning.,You can do both.,I'm running for president because I'm going to create an economy that works for working families not just billionaires.,"Paul Volcker, one of the leading lights of trying to reign in the excesses, has also said he does not support reinstating Glass-Steagall.","chamber of commerce, which hardly ever says nice things about Democratic governors anywhere, named our state number one for innovation and entrepreneurship."
You can have him.,"Hillary Clinton says, basically, we just got to get used to it.",Do we still have values and principles?,They hate us because of our values.,"Well, he -- he has attempted to muddy the waters, but I think that anyone who watched the battle that we had.","So we get this profession of, oh, my goodness, they want to do something about terrorism and yet they're the problem because they allow terrorism to arise out of that chaos.","And when we see red flags, a father, a mother, a neighbor who says we have got a problem here, then we have to give law enforcement the ability to listen so they can disrupt these terrorist attacks before they occur.","There is no reason why you can't stand for principles, go and fight for them and be able also, to have to get things done in government.","I'm running for president because we have a campaign finance system which is corrupt, where billionaires are spending hundreds of millionaires of dollars to buy candidates who will represent their interests rather than the middle class and working families.","So, I mean this may seem like a bit of an arcane discussion.",We defended the highest median income in the country.
"Well, first of all, like many other very big businessmen, I could name them here, but I'm not going to do that for a lot of obvious reasons, but the biggest, and almost all of them, they've all used the chapter laws, the bankruptcy laws to their own benefit.",Two percent growth means declining income for the middle class.,"You know, you look at what's going on, you see all the divisiveness and the hatred that goes on in our society.",They hate us because our girls go to school.,"You know, there was a time for choosing as Reagan put it.","No, I think it's a huge mistake.","We can do this, but we've got to get moving.","You know, what people are frustrated about in Washington, D.",I'm running because we need to address the planetary crisis of climate change and take on the fossil fuel industry and transform our energy system away from fossil fuel to energy efficiency and sustainable energy.,I have nothing against the passion that my two friends here have about reinstating Glass-Steagall.,"And so, look, the way that - a stronger middle class is actually the source of economic growth."
"Before this, I was a very successful person as a developer and as a businessman.",It means more than 6 million people are stuck in poverty than the day that Barack Obama was inaugurated.,"You know, we have a war on virtual everything -- race wars, gender wars, income wars, religious wars, age wars.",They hate us because women drive in the United States.,"Where there was a battle over amnesty and some chose, like Senator Rubio to stand with Barack Obama and Chuck Schumer and support a massive amnesty plan.","I think regime change in Syria, and this is what -- I've been saying this for several years now.",Pay me now or pay me a lot more later.,C|,"I'm running for president because I want a new foreign policy; one that takes on Isis, one that destroys ISIS, but one that does not get us involved in perpetual warfare in the quagmire of the Middle East but rather works around a major coalition of wealthy and powerful nations supporting Muslim troops on the ground.",I just don't think it would get the job done.,"And if our middle class makes more money, they spend more money, and our whole economy grows."
Atlantic City has gone bad.,"It's 5,600 pages long, so complex that nobody's read it.","Every war you can imaging, we have people at each other's throat and our strength is actually in our unity.","Either they win or we win, and we had better take this risk seriously, it is not going away on its own.",Others chose to stand with Jeff Sessions and Steve King and the American people and secure the border.,"In 2013 when we first went in, I said, you are going to give arms to the allies of al Qaida, to radical jihadists?",This is the direction we need to go.,", and I know the folks out there tonight are incredibly frustrated because what they see is a government that doesn't work for them.",That's the kind of coalition we need and that's the kind of coalition I will put together.,I'm all about making sure we actually get results for whatever we do.,"We did it, and it worked, and nobody headed for the hills or left the state because of it."
"I mean, Chris will know about that.",It's like Obamacare; nobody ever read it.,"You know, you go to the internet, you start reading an article and you go to the comments section -- you cannot go five comments down before people are calling each all manner of names.",Can I just add what -- he's right on point there.,"And let me mention, this issue is actually directly connected to what we've been talking about.",That's crazy.,"No, I don't think it is.","You know, for the 45-year- old construction worker out there, who is having a hard time making things meet.","David, let me give you a little bit of background here.",What part is valid?,$10.00 
"I'm not blaming Chris, by the way, but he will know about that.",They passed it; nobody read it.,Where did that spirit come from in America?,Do you know why these banks are so big?,"Because the front line with ISIS isn't just in Iraq and Syria, it's in Kennedy Airport and the Rio Grande.",But the other thing I said is the great irony is you will be back fighting against your own weapons.,And I want to go back to two other issues.,"He's lost $4,000 in the last seven years in his income because of this administration.",The DNC has hired vendors.,I agree completely.,10 was all I could get the state to do by the time I left in my last year.
"Caesar's -- excuse me -- Caesar's, the Rolls-Royce, as you know, is in bankruptcy.",And look at mess we have right now.,"It did not come from our Judeo-Christian roots, I can tell you that.",The government made them big.,Border security is national security.,"Had Assad been bombed when he used chemical weapons two years ago, ISIS would be in charge of all of Syria now.",One is the metadata.,He doesn't want to hear the talk about politics Megyn and who is establishment and who is grassroots.,"On two occasions, there were breeches in information two months ago.",I couldn't have said it better myself.,But two of our counties actually went to $12.
Almost every hotel in Atlantic City has either been in bankruptcy or will be in bankruptcy -- the biggest.,And it will be repealed.,And wherever it came from we need to start once again recognizing that there is such a thing as right and wrong.,The government made them big by adding thousands and thousands of pages of regulations.,"And, you know, one of the most troubling aspects of the Rubio-Schumer Gang of Eight Bill was that it gave President Obama blanket authority to admit refugees, including Syrian refugees without mandating any background checks whatsoever.","We have to have a more realistic foreign policy and not a utopian one where we say, oh, we're going to spread freedom and democracy, and everybody in the Middle East is going to love us.",We know we have to hold this data for a longer period of time.,And who's compromised and who is principled.,Our staff found information on our computers from the Clinton campaign.,But I did want to - I wanted to follow up.,"80 and their county executives, if they were here tonight, would also tell you that it works."
"But also the biggest people -- now I've used that to my advantage as a business man, for my family, for myself.",But this is one of the worst trade deals.,And let's not let the secular progressives drive that out of us.,"So the big banks, they have an army of lawyers, they have an army of compliance officers.",Now we've seen what happened in San Bernardino.,They are not going to love us.,"And, you know, in a lot of ways, Chris is right.",What he wants is something to get done.,"And when our staffers said, whoa, what's going here?","Look, we need more Americans to be involved in the political process.","The fact of the matter is, the more our people earn, the more money they spend, and the more our whole economy grows."
I never filed for bankruptcy.,"And I would, yes, rather not have it.",The majority of people in American actually have values and principles and they believe in the very things that made America great.,They can deal with all these things.,"When you are letting people in, when the FBI can't vet them, it puts American citizens at risk.","Well, I think if you're in favor of World War III, you have your candidate.","Look, what a president has to do is take a position.",And that's the difference between being a governor and having done that for the last six years in New Jersey and being someone who has never had to be responsible for any of those decisions.,They went to the DNC quietly.,"And I give Senator Sanders a lot of credit for really lighting a fire under many people - young, old, everybody - who sees a chance to be involved and have their voice heard.",That's American capitalism.
"But many, many people did.","With all of these countries, and all of the bad ones getting advantage and taking advantage of what the good ones would normally get, I'd rather make individual deals with individual countries.",They've been beaten into submission.,"The small banks, like Governor Bush was saying, they can't deal with all these regulations.","And I tell you, if I'm elected president, we will secure the border.","You know, here's the thing.",We don't want to err on the side of having less.,Barack Obama was never responsible for those decisions.,"They went to the vendor and said, hey, something is wrong, and that was quietly dealt with.",Look at what's happening with the Republicans.,Didn't just happen.
"What happened with Atlantic City is very, very disgraceful.",We will do much better.,It's time for us to stand up for what we believe in.,They can't deal with all -- they cannot hire the fanciest law firm in Washington or the best lobbying firm to deal with all these regulations.,We will triple the border patrol.,"My goodness, what we want in a leader is someone with judgment, not someone who is so reckless as to stand on the stage and say, Yes, I'm jumping up and down; I'm going to shoot down Russian planes.",We want to err on the side of having more.,Hillary Clinton has never been responsible for those kind of decisions where they were held accountable.,None of that information was looked at.,They are doing everything they can to prevent the voices of Americans to be heard.,Come on now.
Now hundreds of companies I've opened.,We lose a fortune on trade.,"Wait a minute, who in their 16th month?","And so the result is, the big banks get bigger, the small banks struggle to lend or even exist, and the result is what you have today.",We will build a wall that works and I'll get Donald Trump to pay for it.,Russia already flies in that airspace.,That's good for our families.,"I've been held accountable for six years as the governor of New Jersey and with a Democratic legislature, I've gotten conservative things done.",Our staffer at that point did exactly the right thing.,They're trying to prevent people from registering to vote.,"Yeah, but look."
"I've used it three times, maybe four times.",The United States loses with everybody.,OK.,"And in Dodd-Frank, you have actually codified too big to fail.","Look, I understand Marco wants to raise confusion, it is not accurate what he just said that I supported legalization.","It may not be something we're in love with the fact that they're there, but they were invited by Iraq and by Syria to fly in that airspace.","In addition to that, Wolf, there is a big problem.",That's exactly what I'll do as president of the United States.,A few days ago a similar incident happened.,"So, we do need to take on the Republicans very clearly and directly.",It should always be going up.
Came out great.,"We're losing now over $500 billion in terms of imbalance with China, $75 billion a year imbalance with Japan.","Well, there's no question that ISIS is a very serious problem, and I don't believe that this administration recognizes how serious it is.","We have actually created a category of systemically important institutions, and these banks go around bragging about it.","Indeed, I led the fight against his legalization and amnesty.","And so if we announce we're going to have a no-fly zone, and others have said this.",It's called encryption.,"Well, let me say that I do believe that the vote on NSA made the country less safe.","There was a breach because the DNC vendor screwed up, information came to our campaign.","But the other thing I just wanted quickly to say is, I think President Obama deserves more credit than he gets for what he got done in Washington, despite the Republican obstructionists.","Again, with all do respect to Secretary Clinton, I think we need to stop taking our advice from economists on Wall Street."
But I guess I'm supposed to come out great.,"By the way, Mexico, $50 billion a year imbalance.",I think we need to do a lot more than we're doing.,You know what they say to people with a wink and a nod?,"And you know, there was one commentator that put it this way that, for Marco to suggest our record's the same is like suggesting the fireman and the arsonist because they are both at the scene of the fire.",Hillary Clinton is also for it.,And the people in San Bernardino were communicating with people who the FBI had been watching.,"Well, let me tell you what the country should really be worried about.","In this case, our staff did the wrong thing -- they looked a that information.","I think after 11 hours, that's pretty clear, yes.","Well, I'll tell you what, I've said this before."
That is what I could do for the country.,"So I must say, Gerard, I just think it's a terrible deal.","Recognize that the caliphate is what gives them the legitimacy to go out on a jihadist mission, so we need to take that away from them.","We are so big, we are so important that if we get in trouble, the government has to bail us out.","He was fighting to grant amnesty and not to secure the border, I was fighting to secure the border.",It is a recipe for disaster.,"But because their phone was encrypted, because the intelligence officials could not see who they were talking to, it was lost.","I watched that town hall meeting with the Democrats the other night, and I heard Hillary Clinton asked a direct question by an Iowan, and that's what Iowans like to do.",As soon as we learned that they looked at that information - we fired that person.,"And, you know, I do think it's important to do exactly what Senator Sanders said, and that is to start talking about the issues that the American people really care about, and that they talk to each of us about.",I don't - I believe that we actually need some new economic thinking in the White House.
"We owe $19 trillion, boy am I good at solving debt problems.",I love trade.,"The way to take that away from them is to talk to our military officials and ask them, what do you need in order to accomplish this goal?",This is an outrage.,"And this also goes to trust, listening on to campaign trails.",It's a recipe for World War III.,We have to solve the encryption problem.,They like to ask direct questions.,We are now doing an independent internal investigation to see who else was involved.,"And to contrast, even - there are differences among us.","And I would not have Robert Rubin or Larry Summers, with all due respect, Secretary Clinton, to you and to them, back on my council of economic advisers."
Nobody can solve it like me.,"I'm a free trader, 100 percent.","Our decision is, then, do we give them what we need.",We need to repeal Dodd-Frank as soon as possible.,Candidates all the time make promises.,"We need to confront Russia from a position of strength, but we don't need to confront Russia from a point of recklessness that would lead to war.",It is not easy.,"And, they asked about her email situation.","Thirdly, what I have a really problem, and as you mentioned - this is a problem, I recognize it as a problem.",You've heard some of those tonight.,They are the architects.
"But I will tell you this, Atlantic City, you're using that, hundreds of companies that I have opened have thrived.","But we need smart people making the deals, and we don't have smart people making the deals.","I say, yes, not only do we give them what they need, but we don't tie their hands behind their backs so that they can go ahead and get the job done.","Well, that's a great question, and let me begin by answering it.","You know, Marco said, he learned that the American people didn't trust the federal government.","This is something -- this type of judgment, you know, it's having that kind of judgment; who you would appoint and how you're going to conduct affairs, that is incredibly important.","A president of the United States, again, has to bring people together, have a position.","And, here's what she said to the American people.",But what the DNC did arbitrarily without discussing it with us is shut off our access to our information crippling our campaign.,"I still want to get back to health care, because I think that's a worthy topic to explore.","Sure, we'll have an inclusive group but I won't be taking my orders from Wall Street."
"I built a net worth of way over $10 billion, and I have done it four times out of hundreds.","It is -- I'd say it is Islamic terrorism, and, back to the question of what we are dealing with in Iraq, when we pull back voids are filled.","In addition to that, we go ahead and we take the oil from them, their source of revenue.","This election is about the future, about what kind of country this nation is gonna be in the 21st century.",He campaigned promising to lead the fight against amnesty.,"I mean, I think when we think about the judgment of someone who might want World War III, we might think about someone who might shut down a bridge because they don't like their friends; they don't want to -- you know, they want to elect a Democrat.",We need to be able to penetrate these people when they are involved in these plots and these plans.,She did it for convenience.,That is an egregious act.,But the differences among us pale compared to what's happening on the Republican side.,"And look, let me say this."
And I'm glad I did it.,"That's the lesson of history, and, sadly, this president does not believe in American leadership.","You know, some of these - - these engagement rules that the administration has -- we're not going to bomb a tanker that's coming out of there because there might be a person in it -- give me a break.",This next election is actually a generational choice.,"I have never supported legalization, and I do not intend to support legalization.",So I think we need to be very careful.,And we have to give the local authorities the ability to penetrate to disrupt.,For her convenience.,"I'm glad that late last night, that was resolved.","And if you listen to what they say - and I had a chance over those 11 hours to watch and listen, as well as what I see in their debates - they are putting forth alarming plans.",I put out a proposal.
"I used the laws of the country to my benefit, I'm sorry.","He does not believe it, and the net result is that we have a caliphate the size of Indiana that gains energy each and everyday to recruit Americans in our own country, and the threat to the homeland relates to the fact that we have not dealt with this threat of terror in the Middle East.","Just tell them that, you put people in there, we're going to bomb them.",A choice about what kind of nation we will be in the 21st century.,"Let me tell you how you do this, what you do is you enforce the law|","You know, I think we need to set the record straight on this, because I think Marco misspoke about the bill.",That's what we need to do.,She put America's secrets at risk for her convenience.,"Fourthly, I work -- look forward to working with Secretary Clinton for an investigation, an independent investigation, about all of the breaches that have occurred from day one in this campaign, because I am not convinced that information from our campaign may not have ended up in her campaign.","I mean, all of us support funding Planned Parenthood.","I was on the front lines when people lost their homes, when people lost their jobs."
Thank you.,We should have a no fly zone in Syria.,So don't put people in there if you don't want them bombed.,For over 2.,What you do is you enforce the law.,"On the Gang of Eight bill, there was no provisions really for extra scrutiny or safety for refugees.","Encryption is a major problem, and Congress has got to deal with this and so does the president to keep us safe.",She put American intelligence officers at risk for her convenience.,Don't know that.,All of us believe climate change is real.,I was on the front lines as a governor fighting against - fighting that battle.
I was not at all critical of him.,"We should have a support for the remnants of the Syrian Free Army, and create safe zones.","You know, that's so simple.","5 centuries, America's been a special country, the one place on earth where anyone from anywhere can achieve anything, a nation that's been a force for good on this planet.","I've laid out a very, very detailed immigration plan on my website, tedcruz.","At the time the bill came up, two Iraqi refugees came to my home town, Bowling Green, Kentucky.","Yeah, let me -- let me just suggest to everybody, and I hear -- last February, I said we needed to have people on the ground in a coalition with Europe and our allies.",She put American strategy at risk for her convenience.,"But we need an independent investigation, and I hope Secretary Clinton will agree with me for the need of that.",All of us want equal pay for equal work.,Our economy was wrecked by the big banks of Wall Street.
